AC Type,City,Cn/Ln,Country,Date,Location,Operator,Registration,Route,Summary,Time,Aboard,Aboard Crew,Aboard Passangers,Crashes,Fatalities,Fatalities Crew,Fatalities Passangers,Flight #,Ground
Douglas DC-6B,Leticia,45067/709, Colombia,7/24/1985,"Leticia, Colombia",Fuerza Aérea Colombiana,FAC-902,Leticia - Bogota,"Crashed into the Amazon jungle in poor weather, after the crew reported a fire in the No. 3 engine. The last words from the aircraft was ""We're falling.""",12/30/1899 5:00:00 PM,80,4,76,1,80,4,76,,0
Lockheed L-1011-1 TriStar,Ft. Worth-Dallas,1163, Texas,8/2/1985,"Ft. Worth-Dallas, Texas",Delta Air Lines,N726DA,Fort Lauderdale - Dallas-Fort Worth,"While on a flight from Fort Lauderdale, FL to Dallas/ Forth Worth, the aircraft crashed while making an landing attempt in thunderstorm activity. The plane touched down 6,000 feet short of the runway and 360 feet to the left of the runway centerline, became airborne again, struck a car killing the driver, crossed the highway and crashed into two water tank reservoirs. Microburst induced windshear. The flightcrew's decision to initiate and continue the approach into a cumulonimbus cloud which they observed to contain lightning. Lack of training for avoiding and escaping from low-altitude windshear.",12/30/1899 6:06:00 PM,163,11,152,1,134,8,126,191,1
Boeing B-747-SR46,Mt. Osutaka,20783/230, Japan,8/12/1985,"Mt. Osutaka, near Ueno Village, Japan",Japan Air Lines,JA8119,Tokyo - Osaka,"The aircraft suffered an aft pressure bulkhead failure at 23,900 ft. The aircraft had severe control difficulties with loss of all controls and eventually after 40 minutes, collided with a mountain. Improper repair of the  bulkhead while being supervised by Boeing engineers after a tail strike in 1978. Worst single plane disaster in aviation history. Kyu Sakamoto, 43, famous for his Japanese song ""Sukiyaki"" was killed in the accident.",12/30/1899 6:56:00 PM,524,15,509,1,520,15,505,123,0
de Havilland Canada DHC-6 Twin Otter 300,Mulia,346, Indonesia,8/12/1985,"Mulia, Indonesia",Merpati Nusantara Airlines,PK-NUG,,Unknown circumstances.,,19,3,16,1,8,0,8,,0
Boeing 707-336C,Aden,20374/838, Yemen,8/15/1985,"Aden, Yemen",Alyemda Airlines,7O-ACO,Aden - Abu Dahbi,"As the plane reached FL230, water was spilled on the autopilot panel and the crew had to disengage the autopilot because the stabilizer trim wheel started to rotate. Control was lost as the plane pitched up and down. Control was regained at 1,000 ft. and an emergency landing was carried out.",,73,8,65,1,3,2,1,,0
Boeing B-737-236,Manchester,22033/743, England,8/22/1985,"Manchester, England",British Airtours,G-BGJL,Manchester - Kerkira,"During takeoff from Manchester, failure of the No. 9 combustor on the port engine resulted in its ejection from the engine and fracturing of the fuel tank access panel and resulting fire. The fire spread into the cabin incapacitating and killing passengers due to toxic smoke. Thermal metal fatigue of the combustor. Slow braking, using reverse thrust and turning the aircraft so it stopped with fire upwind of the fuselage, all helped to feed the flames. The front starboard side door was farthest from flames but jammed when there was a partial premature chute deployment, and  the crew spent time trying to unjam it, while toxic smoke accumulated in the cabin, before starting evacuations through port side door.  The aircraft was named ""River Orrin.""",12/30/1899 6:13:00 AM,137,6,131,1,55,2,53,,0
Beechcraft 99,Auburn,U-22, Maine,8/25/1985,"Auburn, Maine",Bar Harbor Airlines,N300WP,"Boston, MA - Auburn, ME","While on approach, ATC noticed the flight was east of course and the crew was given instructions to correct.   The crew then tried, unsuccessfully to intercept the glideslope. The plane struck trees and crashed short and right of the runway centerline. The pilot's continuation of an unstabilized approach which resulted in a descent below glideslope. Improper IFR procedure by pilot. Missed approach not performed. Decision height not identified. Samantha Smith, 13, along with her father were killed. She became famous for writing to Soviet leader Yuri Andropov about her fear of nuclear war. She later visited him in Moscow.",12/30/1899 10:05:00 PM,8,2,6,1,8,2,6,1808,0
Boeing KC-135A,Beale AFB,17931, California,8/27/1985,"Beale AFB, California",Military - U.S. Air Force,59-1443,Training,Crashed while trying to land with 3 engines.,,7,7,0,1,7,7,0,,0
Antonov AN-26,Near Kandahar,57314106, Afghanistan,9/4/1985,"Near Kandahar, Afghanistan",Ariana Afghan Airlines,YA-BAM,Kandahar - Farah,Shot down by rebels with a ground-to-air missile while flying at FL130.,12/30/1899 11:00:00 AM,52,5,47,1,52,5,47,,0
McDonnell Douglas DC-9-14,Milwaukee,47309/393, Wisconsin,9/6/1985,"Milwaukee, Wisconsin",Midwest Express,N100ME,Milwaukee - Atlanta,The aircraft stalled and dove into the ground as it  took off.  Failure of right engine after compressor spacer failure precipitated by a fatigue crack. The crew's improper use of flight controls in response to the catastrophic failure of the right engine during a critical phase of flight which led to an accelerated stall and loss of control of the airplane. Contributing to the loss of control was a lack of crew coordination in response to the emergency.,12/30/1899 3:21:00 PM,31,4,27,1,31,4,27,105,0
Antonov AN-12,Afghanistan,,Afghanistan,9/22/1985,Afghanistan,Military - Soviet Air Force,,,Shot down by Afghan rebels.,,26,4,22,1,26,4,22,,0
Antonov An-12,Near Kharkov,1901708, Ukraine,9/25/1985,"Near Kharkov, Ukraine",MAP,CCCP-69321,Dnepropetrovsk - Moscow,The plane crashed en route after a fire in the No. 1 engine which led to the seperation of the outer wing.,,9,5,4,1,9,5,4,,0
Cessna 208 Caravan I,Jenkinsburg,208-00017, Georgia,9/29/1985,"Jenkinsburg, Georgia",Air Carriers Express Services Inc,N551CC,Parachuting,Lost power and spiraled into the ground after takeoff. Contaminated fuel. Overloaded.,12/30/1899 12:30:00 PM,17,1,16,1,17,1,16,,0
Embraer 110C Bandeirante,VitÃ³ria da Conquista,110090, Brazil,10/9/1985,"VitÃ³ria da Conquista, Brazil",Nordeste Linhas Aéreas,PT-GKA,VitÃ³ria da Conquista - Salvador,The pilot of the cargo plane stayed at a low altitude after taking off in IMC conditons and crashed.,12/30/1899 7:00:00 PM,2,2,0,1,2,2,0,,0
IAI 1124 Westwind,Off South Head,371, Australia,10/10/1985,"Off South Head, Australia",Pel Air,VH-IWJ,Sidney - Brisbane,"After attaining 5,000 ft. the cargo plane lost control crashed into Botany Bay after taking off from Sydney.",12/30/1899 1:00:00 AM,2,2,0,1,2,2,0,,0
Yakovlev YAK-40,Near Kutayissi,9230923, USSR,10/11/1985,"Near Kutayissi, USSR",Aeroflot,CCCP-87803,Kutaisi - Poti,Crashed into a mountain slope after taking off in bad weather. Instructions to climb normally were delayed because of traffic.,12/30/1899 10:09:00 AM,14,4,10,1,14,4,10,,0
Curtiss C-46D,Near Beni,32936, Bolivia,10/11/1985,"Near Beni, Bolivia",Sabeni,CP-1593,Beni - La Paz,The cargo plane crashed into mountains while en route.,,2,2,0,1,2,2,0,,0
de Havilland Canada DHC-6 Twin Otter 200,Homer City,192, Pennsylvania,10/11/1985,"Homer City, Pennsylvania",Mountain Air Cargo,N3257,State College - Pittsburgh,The cargo plane struck high ground while en route. Pilot error. Altitude not maintained. Improper clearance.,12/30/1899 9:40:00 PM,1,1,0,1,1,1,0,,0
Fokker F-27 Friendship 600,Putao,10501, Myanmar,10/12/1985,"Putao, Myanmar",Burma Airways,XY-ADS,,The cargo plane overfew the runway and crashed one mile beyond the end.,,4,2,2,1,4,2,2,,0
Convair CV-340,Dothan,221, Alabama,11/15/1985,"Dothan, Alabama",Military - U.S. Air Force,54-2817,Test flight,Crashed during a test flight. The elevators locked soon after takeoff.,,4,4,0,1,4,4,0,,0
Lockheed C-130H Hercules,Near Sibyak,4898, Indonesia,11/21/1985,"Near Sibyak, Indonesia",Military - Indonesian Air Force,A-1322,,Crashed into Mt. Sibayak.,,11,11,0,1,11,11,0,,0
Boeing B-737-266,Luqa,21191/450, Malta,11/24/1985,"Luqa, Malta",EgyptAir,SU-AYH,Athens - Cairo,"Hijacking. While on the ground at Malta to refuel the aircraft was stormed by Egyptian forces. During the fight, several hand grenades were thrown into the cabin causing a fire.",12/30/1899 8:15:00 PM,103,6,97,1,60,,,648,0
Antonov AN-26,Near Luassingua,5343609, Angola,11/25/1985,"Near Luassingua, Angola",Military - Angolan Air Force,CCCP-11747,Cuito - Menongue,Shot down by South African anti-aircraft fire.,,22,,,1,22,,,,0
McDonnell Douglas DC-8 Super 63PF,Gander,46058/433, Canada,12/12/1985,"Gander, Newfoundland, Canada",Arrow Airways,N950JW,"Gander - Fort Campbell, KY","The aircraft stalled and crashed during takeoff. Two-hundred-forty-four members of the 101st Airborne Division from Fort Campbell, Kentucky  were killed in the accident. There is controversy surrounding this crash. The majority opinion of the board was that the cause of the sequence leading up to the stall and crash could not be determined, with icing a possibility. The minority opinion was that the crash was possibly caused by detonation of an explosive device of unknown origin in a cargo compartment which led to an in-flight fire and loss of control of the aircraft.",12/30/1899 6:45:00 AM,256,8,248,1,256,8,248,,0
Short SC7- Skyvan,Near Dhangadhi,SH-1978, Nepal,12/30/1985,"Near Dhangadhi, Nepal",Military - Royal Nepalese Air Force,RAN-23,,Crashed into a forest.,,25,3,22,1,25,3,22,,0
Douglas DC-3,De Kalb,13658, Texas,12/31/1985,"De Kalb, Texas",Private,N711Y,Guntersville - Dallas/Ft. Worth,"The plane crash landed into a field and struck a pole then continued into trees after dense smoke filled the plane and cockpit. The fire most likely started in a defective cabin heater but was not determined for sure. Singer Rick Nelson, 45, fiancée Helen Blair, 27, soundman Clark Russell and the members of his back-up group The Stone Canyon Band, Andy Chapin, 20, Rick Intveld, 22, Bobby Neal, 38, and Patrick Woodward, 35 were killed. Both pilots survived after climbing out the cockpit windows. Nelson had purchased the DC-3 in May 1985 from Jerry Lee Lewis and the craft had been forced to make two emergency landings in the previous six months. Nelson and his band were en route to perform at the half-time festivities at the Cotton Bowl.",12/30/1899 5:14:00 PM,9,2,7,1,7,0,7,,0
Sud-Aviation  Caravelle VI-N,Near Peten,40, Guatemala,1/18/1986,"Near Peten, Guatemala",Aerovias de Guatemala SA,HC-BAE,Guatemala City-Santa Elena,"After initiating an overshoot and attempting to land for a second time, the plane crashed into a hilly area in the jungle. There were low lying clouds in the area.",12/30/1899 8:00:00 AM,94,6,88,1,94,6,88,,0
Bell 296B,Ellendale,425, Minnesota,1/21/1986,"Ellendale, Minnesota",Air Taxi,N1498W,,"The purpose of the flight was to take a news crew to a location to cover a story. The news crew had attempted to hire another helicopter, but that operator refused due to forecast low visibility. This pilot, however, agreed to fly. Although he was certified for instrument flight in airplanes, the pilot was not qualified for instrument flight in helicopters, nor was the helicopter certified for instrument flight. The helicopter crashed & burned approximately 100' from the highway near a power line crossing. Impact occurred while the helicopter was in a shallow descent, heading away from the highway & parallel with the power line. Continued VFR flight into IMC. Overconfidence in personal ability.",12/30/1899 4:25:00 AM,3,1,2,1,3,1,2,,0
Boeing B-737-2A1,Sao Paulo,20096/190, Brazil,1/28/1986,"Sao Paulo, Brazil",VASP,PP-SME,Sao Paulo - Belo Horizonte,The crew accidently tried to take off from a taxiway. The takeoff was aborted but the aircraft overran the runway and collided with a embankment and broke in two. There was heavy fog in the area.,12/30/1899 7:45:00 AM,72,5,67,1,1,0,1,,0
Douglas DC-3A-178,Las Lomitas,1547, Mexico,1/29/1986,"Las Lomitas, Mexico",Aerocalifornia,XA-IOR,Villa Constitucion - Los Mochis,The plane tried to land at Los Mochis but had to divert to Las Lomitas because of fog. The airport was not approved for commercial flights and the plane crashed into a hill near the airport while attempting to land.,,21,3,18,1,21,3,18,,0
Lockheed L-188AF Electra,Kasongo,1045, Zaire,2/5/1986,"Kasongo, Zaire",GLM Aviation,9Q-CWT,Kasonga-Kinshasa,The cargo plane crashed while attempting to make a forced landing.,,14,4,10,1,2,0,2,,0
Boeing B-737-281,Off Makung,20226/168, Taiwan,2/16/1986,"Off Makung, Taiwan",China Airlines (Taiwan),B-1870,Taipei - Makung,The aircraft crashed into the sea during an attempted go-around after a missed landing attempt due to a burst nose gear tire.,12/30/1899 6:50:00 PM,13,7,6,1,13,7,6,,0
Antonov AN-24B,Near Bugulma,7304108, Russia,3/2/1986,"Near Bugulma, Russia",Aeroflot,CCCP-46423,Cheboksary - Bugulma,"The aircraft entered a left bank and turn, stalled and crashed 5 miles short of the runway. Failure of the autofeather sensor circuit breaker caused propellers to feather.",12/30/1899 3:03:00 AM,38,4,34,1,38,4,34,,0
Embraer 110P1 Bandeirante,Alpena,110370, Michigan,3/13/1986,"Alpena, Michigan",Simmons Airlines,N1356P,"Detroit, MI - Alpena, MI","After a missed approach due to bad weather, the plane was cleared for an ILS approach but crashed in a wooded area, short of the runway. The flight crew's continued descent of the airplane below the glideslope and through the published decision height without obtaining visual reference of the runway for undetermined reasons.",12/30/1899 10:15:00 PM,9,2,7,1,3,1,2,1746,0
CASA 212 Aviocar 100,Near Naha,108/15N, Indonesia,3/20/1986,"Near Naha, Indonesia",Merpati Nusantara Airlines,PK-NCF,Manado - Naha,"Crashed into high ground at 1, 900 ft. while flying IFR in rain.",,16,2,14,1,2,2,0,,0
de Havilland Canada DHC-3 Otter,Goose Bay,400, Canada,3/24/1986,"Goose Bay, Newfoundland, Canada",Goose Bay Air Services,C-FAGM,Snegamook Lake - Goose Bay,"A fatigue initiated crack in the number nine cylinder head caused the engine to run rough and lose power. While the pilot was manoeuvring for the precautionary landing in whiteout conditions, the aircraft crashed. At impact, the fuel cells ruptured, and a fire erupted which destroyed the aircraft.",12/30/1899 9:55:00 AM,5,1,4,1,4,1,3,,0
Antonov An-12AP,Omsk,1400103, Soviet Union,3/25/1986,"Omsk, Soviet Union",Ministerstvo Obshchestvo Mashinostroyeniya,CCCP-11795,,"The cargo plane descended below minima weather conditions, undershot the runway, overturned and caught fire.",,9,6,3,1,9,6,3,,0
Sepecat Jaguar A,Bangui,, Central African Republic,3/27/1986,"Bangui, Central African Republic",Military - French Air Force,,,The jet fighter crashed into a school shortly after taking off after experiencing engine failure.,,0,0,0,1,0,0,0,,35
Antonov AN-26,Near Pemba,, Mozambique,3/30/1986,"Near Pemba, Mozambique",Military - Mozambique Air Force,42,Pemba - Maputo,The aircraft crashed while making an emergency return to the airfield after experiencing engine failure on takeoff.,12/30/1899 10:15:00 AM,54,3,51,1,49,3,46,,0
Boeing B-727-264,Maravatio,22414/1748, Mexico,3/31/1986,"Maravatio, Mexico",Mexicana,XA-MEM,Mexico City - Puerto Vallarta,"While climbing through 29,000 feet, an overheated tire exploded in the wheel well after takeoff and damaged the hydraulic and electrical systems of the aircraft. The plane lost control and crashed. The tire had been serviced with air rather than nitrogen. The air, under high temperature and pressure, resulted in a chemical reaction within the tire itself which led to a explosion of the tire.",12/30/1899 9:11:00 AM,167,8,159,1,167,8,159,940,0
Boeing B-727,Near Athens,20845/1066, Greece,4/2/1986,"Near Athens, Greece",Trans World Airlines,N54340,Rome - Athens,Detonation of a explosive device in the passenger compartment causing four passengers to be sucked out.  The plane landed safely at Athens. The plastic explosive was left under a seat by a woman carrying a Lebanese passport.,12/30/1899 1:05:00 PM,121,7,114,1,4,0,4,840,0
Lockheed HC-130P Hercules,Near Magdalena,4161, New Mexico,4/2/1986,"Near Magdalena, New Mexico",Military - U.S. Air Force,66-0211,,Lost a wing in heavy turbulence at low altitude.,,11,11,0,1,11,11,0,,0
de Havilland Canada DHC-6 Twin Otter 300,Near Saravena,780, Colombia,4/27/1986,"Near Saravena, Colombia",ACES Colombia,HK-2761,Bogota - Saravena,"Crashed into a 8,500 ft. mountain in poor weather.",12/30/1899 8:35:00 AM,13,2,11,1,13,2,11,,0
Douglas DC-6,San Salvador,45078, El Salvador,5/1/1986,"San Salvador, El Salvador",Military - El Salvador Air Force,FAS-302,San Salvador - Panama City,Crashed into a hill following an engine fire.,12/30/1899 6:32:00 AM,37,4,33,1,37,4,33,,0
Lockheed L-1011-100,Colombo,1061, Sri Lanka,5/3/1986,"Colombo, Sri Lanka",Air Lanka,4R-ULD,London - Zurich - Dubai - Colombo - Male,Detonation of an explosive device in the rear section of the cabin while on the ground and passengers were boarding. The aircraft was named City of Colombo.,12/30/1899 9:05:00 AM,150,22,128,1,22,0,22,512,0
Bell UH-1H / Bell UH-1H (helicopters),Near Taipei,, Taiwan,5/3/1986,"Near Taipei, Taiwan",Military - Republic of China Air Force,,,Both helicopters crashed into a rice paddy after experiencing a mid-air collision.,,22,,,1,22,,,,0
Dassault Breguet Atlantique,Djibouti,19, Djibouti,5/18/1986,"Djibouti, Djibouti",Military - French Naval Aviation,19,,Crashed in the vicinity of Day Mountain in heavy rain and low clouds.,12/30/1899 8:30:00 AM,19,5,14,1,19,5,14,,0
Douglas C-47,Antananarivo,, Madagascar,5/24/1986,"Antananarivo, Madagascar",Military - Armée de l'Air Malgache,,Antananarivo - Antsirabe,Flew into the side of a mountain in poor weather. Controlled flight into terrain.,,13,13,0,1,13,13,0,,0
Fokker F-27 Friendship 500,Near Cairo,10659, Egypt,6/10/1986,"Near Cairo, Egypt",EgyptAir,SU-GAD,Cairo - Alexandia,Crashed short of runway and collided with a building during a sandstorm.,,26,5,21,1,23,5,18,,0
de Havilland Canada DHC-6 Twin Otter 300,Port Ellen,635, Islay Island,6/12/1986,"Port Ellen, Islay Island",Loganair,G-BGPC,Glasgow - Port Ellen,The crew mistook Laphroaig for Port Ellen and crashed into a hill. Decision to allow the handling pilot to carry out a visual approach in unsuitable meteorological conditions. An error in visual navigation was a contributory factor.,12/30/1899 3:22:00 PM,16,2,14,1,1,1,0,423,0
de Havilland Can. DHC-6 -300/ Bell 206B,Grand Canyon,248 /, Arizona,6/18/1986,"Grand Canyon, Arizona",Grand Canyon Airlines / Helitech,N76GC/N6TC,Grand Canyon - Grand Canyon,Midair collision. Inadequate visual lookout on the part of  both aircraft. Twenty killed on the de Havilland and  five on the Helitech. The failure of the flightcrew of both aircraft to see and avoid each other for undetermined reasons.,12/30/1899 9:33:00 AM,25,3,22,1,25,3,22,,0
Tupolev TU-134A,Near Syktyvar,60482, Russia,7/2/1986,"Near Syktyvar, Russia",Aeroflot,CCCP-65120,Syktyvkar - 	Moscow,The aircraft crashed in a forest after an in-flight fire caused by baggage that ignited in the rear cargo hold led to loss of contol of the aircraft.,12/30/1899 10:27:00 AM,92,6,86,1,54,2,52,2306,0
Douglas C-47A,Maputo,9492, Mozambique,7/10/1986,"Maputo, Mozambique",Military - Zimbabwe Air Force,7312,Chimoio - Harare,Crashed during takeoff.,,17,4,13,1,17,4,13,,0
de Havilland Canada DHC-6 Twin Otter 300,Off St. Vincent,785, Leeward Islands,8/4/1986,"Off St. Vincent, Leeward Islands",Leeward Islands Air Transport,V2-LCJ,Vieux Fort - Kingstown,Crashed into the sea in poor weather conditions.,12/30/1899 12:23:00 AM,13,2,11,1,13,2,11,,0
Lockheed C130D,Near Wampusirpi,3194, Honduras,8/14/1986,"Near Wampusirpi, Honduras",Military - Honduran Air Force,556,Tegucigalpa - Duzuna,Crashed into the jungle in poor weather conditions as it approached Durzana Air Base.,12/30/1899 11:30:00 AM,59,6,53,1,59,6,53,,0
Fokker F-27 Friendship 400M,Malakal,10277, Sudan,8/16/1986,"Malakal, Sudan",Sudan Airways,ST-ADY,Malakal - Khartoum,Shot down by SPLA rebels with surface-to-air missiles shortly after takeoff.,12/30/1899 10:30:00 AM,60,3,57,1,60,3,57,,0
Howard 250,Texarkana,2596, Arkansas,8/28/1986,"Texarkana, Arkansas",Southwest Airlift,N252K,Little Rock - Texarkana,"On takeoff the cargo plane pitched up, rolled inverted and crashed. Improperly loaded. Alcohol impairment of the pilot and co-pilot.",12/30/1899 6:53:00 AM,2,2,0,1,2,2,0,,0
MD Douglas DC-9-32 / Piper PA-28-181,Cerritos,47356/470 /?, California,8/31/1986,"Cerritos, California",Aeromexico / Private,XA-JED/N4891F,Tijuana - Los Angeles,"A midair collision occurred between a DC-9, attempting to land at LAX  and a Piper at 6,560 ft. over Cerritos, California. The Piper struck and knocked the horizontal and vertical stabilizer off the DC-9. The Piper fell into an unoccupied playground.  The DC-9 crashed into a neighborhood destroying eleven homes and damaging seven others. Sixty-four on the DC-9, three on the Piper who were all decapitated and 15 on the ground were killed. The pilot of the Piper inadvertently entered the LAX Terminal Control Area. The controller was distracted by another small aircraft in the area. The inadvertent and unauthorized entry of the PA-28 into the Los Angeles Terminal Control Area. The limitations of the ""see and avoid"" concept to ensure traffic separation under the conditions of the conflict.",12/30/1899 11:52:00 AM,67,9,58,1,67,9,58,498,15
Boeing B-747-121,Karachi,20351/127, Pakistan,9/5/1986,"Karachi, Pakistan",Pan American World Airways,N656PA,Bombay-Karachi-Frankfurt-New York,"While on the ground, four hijackers opened fire on the passengers and crew and threw grenades among them, killing 16 passengers, one crew member and one ground crew member. The aircraft was named ""Clipper Empress of the Seas.""",12/30/1899 6:00:00 AM,384,20,364,1,16,1,14,73,1
Lockheed C-130A Hercules,Hopkinsville,3076, Kentucky,9/9/1986,"Hopkinsville, Kentucky",Military - U.S. Air Force,56-0468,,Overran the runway and crashed.,,4,4,0,1,3,3,0,,0
Embraer 120RT Brasilia,Near Mantiqueira,120019, Brazil,9/19/1986,"Near Mantiqueira, Brazil",Atlantic Southeast Airlines,N219AS,Sao Jose dos Campo - Manaus,"On a delivery flight the aircraft struck a cloud covered mountain at 4,300 ft. Crew did not follow the prescribed course.",12/30/1899 2:58:00 PM,5,2,3,1,5,2,3,,0
Lockheed L-100-30 Hercules,San Antonio,4391, Texas,10/4/1986,"San Antonio, Texas",Southern Air Transport,N15ST,Kelly AFB - Warner Robins AFB,"The cargo plane lost altitude and crashed inverted. The use by the carrier of a non-approved device designed to raise the elevator during loading operations which was not properly stowed by the flight crew and which lodged in the controls, preventing the flight crew from controlling the airplane during take-off.",12/30/1899 4:10:00 AM,3,3,0,1,3,3,0,15,0
LET 410MT Turbojet,Ust-Maya,780905, USSR,10/14/1986,"Ust-Maya, USSR",Aeroflot,CCCP-67264,Ust-May - 	Allah-Yun,Crashed into river on takeoff.,12/30/1899 8:14:00 AM,14,2,12,1,14,2,12,,0
Boeing 737-286,Chiraz,20499/284, Iran,10/15/1986,"Chiraz, Iran",Iran Air,EP-IRG,Chiraz-Téhéran,Shiraz Airport was attacked by Iraqi aircraft. Passengers were deplaning at the time of the attack.,12/30/1899 5:00:00 PM,80,5,75,1,3,0,3,,0
Tupolev TU-134A,Near Komatipoot,63457, South Africa,10/19/1986,"Near Komatipoot, South Africa",Government of Mozambique,C9-CAA,Lusaka - Maputo,"Crashed in the Lembombo mountains during a storm. President Samora Machel, president of Mozambique, killed. The aircraft descended below minima even though the crew did not have visual contact with Maputo. A GPWS warning was ignored and the plane hit high ground crashing onto a uphill slope. Navigational error. GPSW ignored. There is speculation that the plane was lured away from the correct flight path by a pirate radio beacon broadcasting on the same frequency as the Maputo Airport, disorienting the pilot.",12/30/1899 7:21:00 PM,44,9,35,1,34,8,26,,0
Tupolev TU-134A,Kuybyshev,62327, Russia,10/20/1986,"Kuybyshev, Russia",Aeroflot,CCCP-65766,Yekaterinburg - Kuybyshev,"The plane made a hard landing, crashed and burst into flames after a straight-in hard landing without leveling off.",12/30/1899 3:58:00 PM,93,8,85,1,70,4,66,,0
Enstrom F-28F,Manhattan,700, New York,10/22/1986,"Manhattan, New York",Private - WNBC,N8617B,Traffic reporting,"The helicopter was contracted by NBC to make daily highway traffic observations in the New York City area. The pilot and passenger, Jane Dornacker, a NBC radio traffic reporter, were flying in a northerly direction along manhattan's west side at an altitude of about 75 feet. Witnesses observed the aircraft's main rotor blades stop, the aircraft descended rapidly, struck the top of a chain link fence at a river pier, crashed into the HudsonRiver and sank in 15 to 20 feet of water. Investigation revealed the sprag clutch was inadequately lubricated, had 'rolled over' in the opposite direction of its design and the sprag assembly was damaged. Several sprags and both activating springs were broken and different size sprags were installed. An unauthorized, overhauled clutch had been installed in the aircraft. Dornacker had survived another helicopter crash earlier in the year.",12/30/1899 4:45:00 PM,2,1,1,1,2,1,1,,0
Fokker F-27 Friendship 600,Near Peshawar,10335, Pakistan,10/23/1986,"Near Peshawar, Pakistan",Pakistan International Airlines,AP-AUX,Lahore - Peshawar,"Crashed short of the runway on approach, broke up and landed inverted. Crew error. The aircraft was allowed to descent below MDA. Crew did not properly monitor the altitude.",12/30/1899 8:49:00 PM,54,5,49,1,13,4,9,,0
Mil Mi-17 (helicopter),Near Managua,, Nicaragua,10/30/1986,"Near Managua, Nicaragua",Military - Nicaraguan Air Force,294,,"Either mechanical failure, weather or ground fire from Contra rebels brought the helicopter down.",12/30/1899 5:00:00 PM,23,3,20,1,21,2,19,,0
Lockheed C-130,Near Zahedan,, Iran,11/2/1986,"Near Zahedan, Iran",Military - Iranian Air Force,,Bakhtaran - Zahedan,Struck the side of a mountain near the Pakistani border. Crew error. Descent below minimum safe altitude with a defective altimeter and in spite of warnings from the ATC.,12/30/1899 7:25:00 PM,103,7,96,1,103,7,96,,0
Boeing-Vertol Chinook,Off Sumburgh Head,MJ004, Scotland,11/6/1986,"Off Sumburgh Head, Shetlands, Scotland",British International Helicopters,G-BWFC,,The helicopoter crashed into the North Sea while carrying oil workers back to Sumburgh. Rotor failure.,,47,2,45,1,45,2,43,,0
Ilyushin IL-18,Near Sarowbi,, Afghanistan,11/25/1986,"Near Sarowbi, Afghanistan",Military - Afghan Republican Air Force,,,Shot down by Afghan rebels.,,40,5,35,1,40,5,35,,0
Tupolev TU-134A,Berlin,63145, East Germany,12/12/1986,"Berlin, East Germany",Aeroflot,CCCP-65795,Minsk - Berlin,The aircraft crashed after landing on the wrong runway in fog. The crew did not understand the English instructions that the right runway was closed for repairs.,,82,9,73,1,72,9,63,,0
Antonov AN-24RV,Near Lanzhou,37308907, China,12/15/1986,"Near Lanzhou, China",CAAC,B-3413,Lanzhou - Chengdu,"The No. 2 engine failed due to severe icing conditions 30 minutes after leaving Lanzhou. With the prop feathered, the plane crashed before reaching the airport.",,44,7,37,1,6,0,6,,0
Boeing B-737-270C,Arar,21183, Saudi Arabia,12/25/1986,"Arar, Saudi Arabia",Iraqi Airways,YI-AGJ,Baghdad - Amman,"Hijacking.  While on a flight from Baghdad to Amman, hijackers exploded a hand grenade in the passenger cabin. While making an emergency descent a second hand grenade exploded in the cockpit causing the plane to lose control crash, break in two and catch fire.",12/30/1899 12:30:00 PM,106,15,91,1,63,3,60,,0
de Havilland DH-114 Heron 2B,Near Nasaso,14056, Fiji,12/27/1986,"Near Nasaso, Fiji",Sunflower Airlines,DQ-FEF,Savu Savu - Nadi,The aircraft banked ninety degrees and crashed short of the runway. Loss of control due to mechanical failure. Use of a unsecured nonstandard flap attachment pin.,12/30/1899 1:48:00 PM,14,2,12,1,11,2,9,,0
CASA 212-100,Off Bata,65, Equatorial Guinea,1/2/1987,"Off Bata, Equatorial Guinea",Military - Spanish Air Force.,T-12B-32,Bata - Malabo,The domestic flight crashed off the island of Bioko and sending a distress message. Engine failure.,12/30/1899 4:30:00 PM,22,3,19,1,22,3,19,,0
Boeing B-707-379C,Abidjan,19822/726, Ivory Coast,1/3/1987,"Abidjan, Ivory Coast",Varig,PP-VJK,Abidjan - Rio de Janeiro,The plane crashed in the jungle while returning to Abidjan after taking off with the No. 1 engine on fire.,12/30/1899 1:45:00 AM,51,12,39,1,50,12,38,797,0
Antonov AN-12,Near Asmara,, Ethiopia,1/13/1987,"Near Asmara, Ethiopia",Military - Ethiopian Air Force,,Asrmara - Addis Ababa,Crashed after taking off from Johannes IV Airport after attempting to return for an emergency landing. The crew radioed they were having technical difficulties three minutes after taking off. While attempting to return to the airport the plane crashd. Mechanical malfunction.,12/30/1899 1:30:00 PM,54,5,49,1,54,5,49,,0
